bonjour,Oudia
bonsoir,Ouzoua
êtes vous déjà arrivés,Peuha Nte keup les
êtes vous deja arrivés,Peuha Nte keup les
êtes vous bien arrivés,Peu keup meupok les
vous êtes bien arrivés,Peu keup meupok les
comment ca va,Me Ndi2i
comment vas tu,Me Ndi2i
comment tu vas,Me Ndi2i
ca va bien,Ngi fi Zi
ça va bien,Ngi fi Zi
ca va,Ngi fi
ça va,Ngi fi Zi
je pars à l'école,wei meu nga soukou
je pars à l'hopital,wei meu nga waspita
j'ai faim,djoukohou meu ndjack
ton nom c'est qui,zeuzou ma wô
ton nom c'est qui ?,zeuzou ma wô
tu t'appelles comment,zeuzou ma wô
tu t'appelles comment ?,zeuzou ma wô
tu n'es pas parti à l'eglise aujourd'hui,Ou ka ha tchossi dihe
ma tête fait mal,tchoua me ndjack
mon ventre fait mal,vobze me ndjack
Que le seigneur vous amene et ramene,Si ndô yeu non pê ndô yeu non feu
Que le seigneur vous amène et ramène,Si ndô yeu non pê ndô yeu non feu
tu as préparé quoi aujoud'hui,Ou naga kô dihe
tu as prepare quoi aujoud'hui,Ou naga kô dihe
